name,evolution_info,types,abilities,HP,Atk,Def,Sp.Atk,Sp.Def,Spd,catch_rate,obtainability
Bagon,"It evolves into Shelgon upon reaching level 30, which then evolves into Salamence when it reaches level 50.",['Dragon'],"['Rock Head', 'Sheer Force']",45,75,60,40,30,50,5.88%,"['Land', 'Bosses']"
Baltoy,It evolves into Claydol upon reaching level 36.,"['Ground', 'Psychic']",['Levitate'],40,40,55,40,70,55,33.33%,"['Land', 'Headbutt Trees', 'Excavation', 'Dig Spots']"
Banette,Banette is a Ghost-type Pokémon. Having evolved from Shuppet at level 37.,['Ghost'],"['Insomnia', 'Frisk', 'Cursed Body']",64,115,65,83,63,65,5.88%,['Wild']
Barboach,It evolves into Whiscash upon reaching level 30.,"['Water', 'Ground']","['Oblivious', 'Anticipation', 'Hydration']",50,48,43,46,41,60,24.84%,"['Surfing', 'Fishing']"
Beautifly,"Beautifly evolves from Silcoon at level 10, thereby reaching the final stage of Wurmple's first evolutionary line.","['Bug', 'Flying']","['Swarm', 'Rivalry']",60,70,50,90,50,65,5.88%,"['Land', 'Headbutt Trees']"
Beldum,"It evolves into Metang upon reaching level 20, which then evolves into Metagross at level 45.","['Steel', 'Psychic']","['Clear Body', 'Light Metal']",40,55,80,35,60,30,0.39%,"['Land', 'Headbutt Trees', 'Excavation', 'Bosses']"
Blaziken,"Blaziken is a Fire and Fighting-type Pokémon. Having evolved from Combusken at level 36, it is the final evolutionary stage of Torchic.","['Fire', 'Fighting']","['Blaze', 'Speed Boost']",80,120,70,110,70,80,5.88%,[]
Breloom,Breloom is a Grass and Fighting-type Pokémon. Having evolved from Shroomish at level 23.,"['Grass', 'Fighting']","['Effect Spore', 'Poison Heal', 'Technician']",60,130,80,60,60,70,11.76%,[]
Cacnea,It evolves into Cacturne upon reaching level 32.,['Grass'],"['Sand Veil', 'Water Absorb']",50,85,40,85,40,35,24.84%,"['Land', 'Headbutt Trees']"
Cacturne,Cacturne is a Grass and Dark-type Pokémon. Having evolved from Cacnea at level 32.,"['Grass', 'Dark']","['Sand Veil', 'Water Absorb']",70,115,60,115,60,55,7.84%,['Wild']
Camerupt,"Camerupt is a Fire- and Ground-type Pokémon. It evolves from Numel, the only pre-evolution of its evolutionary line, as early as level 33. It can  Mega Evolve into Mega Camerupt via the exposure of Cameruptite.","['Fire', 'Ground']","['Magma Armor', 'Solid Rock', 'Anger Point']",70,100,70,105,75,40,19.61%,['Land']
Carvanha,It evolves into Sharpedo upon reaching level 30.,"['Water', 'Dark']","['Rough Skin', 'Speed Boost']",45,90,20,65,20,65,29.41%,"['Surfing', 'Fishing', 'Doctors Quest']"
Cascoon,"Silcoon evolves from Wurmple at level 7; thereafter, it will evolve into its final evolutionary stage in Beautifly at level 10.",['Bug'],['Shed Skin'],50,35,55,25,25,15,15.69%,"['Land', 'Headbutt Trees']"
Castform,,['Normal'],['Forecast'],70,70,70,70,70,70,5.88%,"['Land', 'Surfing', 'Fishing']"
Chimecho,Chimecho is a Psychic-type Pokémon. Having evolved from Chingling when leveled up with max happiness during night-time..,['Psychic'],['Levitate'],65,50,70,95,80,65,5.88%,['Wild']
Clamperl,It evolves into Huntail when traded while holding a Deep Sea Tooth and into Gorebyss when traded while holding a Deep Sea Scale.,['Water'],"['Shell Armor', 'Rattled']",35,64,85,74,55,32,33.33%,"['Surfing', 'Fishing', 'Excavation', 'Abandoned Ship', 'Love Island']"
Claydol,Claydol is a Ground and Psychic-type Pokémon. Having evolved from Baltoy at level 36.,"['Ground', 'Psychic']",['Levitate'],60,70,105,70,120,75,11.76%,['Wild']
Combusken,"Combusken is a Fire-type Pokémon. Having evolved from Torchic at level 16, it evolves into Blaziken at level 36.","['Fire', 'Fighting']","['Blaze', 'Speed Boost']",60,85,60,85,60,55,5.88%,[]
Corphish,It evolves into Crawdaunt upon reaching level 30.,['Water'],"['Hyper Cutter', 'Shell Armor', 'Adaptability']",43,80,65,50,35,35,26.8%,"['Land', 'Surfing', 'Fishing', 'Excavation', 'Doctors Quest']"
Cradily,Cradily is a Rock and Grass-type Pokémon. Having evolved from Lileep at level 40.,"['Rock', 'Grass']","['Suction Cups', 'Storm Drain']",86,81,97,81,107,43,5.88%,[]
Crawdaunt,Crawdaunt is a Water and Dark-type Pokémon. Having evolved from Corphish at level 30.,"['Water', 'Dark']","['Hyper Cutter', 'Shell Armor', 'Adaptability']",63,120,85,90,55,55,20.26%,['Surfing']
Delcatty,Delcatty is a Normal-type Pokémon. Having evolved from Skitty at level when exposed to a Moon Stone.,['Normal'],"['Cute Charm', 'Normalize', 'Wonder Skin']",70,65,65,55,55,70,7.84%,[]
Deoxys,,['Psychic'],['Pressure'],50,95,90,95,90,180,0.39%,[]
Dusclops,It evolves from Duskull starting at level 37 and then evolves into Dusknoir when traded while holding a Reaper Cloth.,['Ghost'],"['Pressure', 'Frisk']",40,70,130,60,130,25,11.76%,['Land']
Duskull,"It evolves into Dusclops as early as level 37, which then evolves into Dusknoir when traded holding a Reaper Cloth.",['Ghost'],"['Levitate', 'Frisk']",20,40,90,30,90,25,24.84%,"['Land', 'Excavation']"
Dustox,"Dustox evolves from Cascoon at level 10, thereby reaching the final stage of Wurmple's second evolutionary line.","['Bug', 'Poison']","['Shield Dust', 'Compound Eyes']",60,50,70,50,90,90,5.88%,"['Land', 'Headbutt Trees']"
Electrike,It evolves into Manectric upon reaching level 26.,['Electric'],"['Static', 'Lightning Rod', 'Minus']",40,45,40,65,40,65,15.69%,"['Land', 'Bosses']"
Exploud,"Exploud is a Normal-type Pokémon. Having evolved from Loudred at level 40, it is the final evolutionary stage of Whismur.",['Normal'],"['Soundproof', 'Scrappy']",104,91,63,91,63,68,5.88%,[]
Feebas,It evolves into Milotic when traded while holding a Prism Scale.,['Water'],"['Swift Swim', 'Oblivious', 'Adaptability']",20,15,20,10,55,80,33.33%,"['Surfing', 'Fishing', 'Excavation', 'Bosses']"
Flygon,Having it evolved from Vibrava at level 45.,"['Ground', 'Dragon']",['Levitate'],80,100,80,80,80,100,5.88%,[]
Gardevoir,Gardevoir is a Psychic and Fairy type Pokémon. It evolves from Kirlia at level 30. It is the female counterpart to Gallade and is the final evolution of Ralts.,"['Psychic', 'Fairy']","['Synchronize', 'Trace', 'Telepathy']",68,65,65,125,115,80,5.88%,[]
Glalie,Glalie is an Ice-type Pokémon. Having evolved from Snorunt at level 42.,['Ice'],"['Inner Focus', 'Ice Body', 'Moody']",80,80,80,80,80,80,9.8%,['Wild']
Gorebyss,Gorebyss is a Water-type Pokémon. Having evolved from Clamperl when consummated in any trade transaction while holding a Deep Sea Scale.,['Water'],"['Swift Swim', 'Hydration']",55,84,105,114,75,52,7.84%,[]
Groudon,,['Ground'],['Drought'],100,150,140,100,90,90,0.39%,[]
Grovyle,"Grovyle is a Grass-type Pokémon. Having evolved from Treecko at level 16, it evolves into Sceptile at level 36.",['Grass'],"['Overgrow', 'Unburden']",50,65,45,85,65,95,5.88%,[]
Grumpig,Grumpig is a Psychic type Pokémon. Having it evolved from Spoink upon reaching level 32.,['Psychic'],"['Thick Fat', 'Own Tempo', 'Gluttony']",80,45,65,90,110,80,7.84%,"['Level Up', 'Egg Moves', 'TMs', 'TM Tutors', 'Move Tutors']"
Gulpin,It evolves into Swalot upon reaching level 26.,['Poison'],"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",70,43,53,43,53,40,29.41%,['Land']
Hariyama,Hariyama is a Fighting-type Pokémon. Having evolved from Makuhita at level 24.,['Fighting'],"['Thick Fat', 'Guts', 'Sheer Force']",144,120,60,40,60,50,26.14%,['Wild']
Huntail,Huntail is a Water-type Pokémon. Having evolved from Clamperl when consummated in any trade transaction while holding a Deep Sea Tooth.,['Water'],"['Swift Swim', 'Water Veil']",55,104,105,94,75,52,7.84%,[]
Illumise,,['Bug'],"['Oblivious', 'Tinted Lens', 'Prankster']",65,47,55,73,75,85,19.61%,"['Land', 'Headbutt Trees']"
Jirachi,,"['Steel', 'Psychic']",['Serene Grace'],100,100,100,100,100,100,0.39%,[]
Kecleon,,['Normal'],"['Color Change', 'Protean']",60,90,70,60,120,40,26.14%,['Land']
Kirlia,"Kirlia is a Psychic and Fairy type Pokémon. 
It evolves into Ralts upon reaching level 20, and evolves either into Gardevoir at level 30, or, if male, Gallade when exposed to a Dawn Stone.","['Psychic', 'Fairy']","['Synchronize', 'Trace', 'Telepathy']",38,35,35,65,55,50,15.69%,['Wild']
Kyogre,,['Water'],['Drizzle'],100,100,90,150,140,90,0.39%,[]
Lairon,It evolves from Aron upon reaching level 32 and then into Aggron upon reaching level 42.,"['Steel', 'Rock']","['Sturdy', 'Rock Head', 'Heavy Metal']",60,90,140,50,50,40,11.76%,['Land']
Latias,,"['Dragon', 'Psychic']",['Levitate'],80,80,90,110,130,110,0.39%,[]
Latios,,"['Dragon', 'Psychic']",['Levitate'],80,90,80,130,110,110,0.39%,[]
Lileep,It evolves into Cradily upon reaching level 40.,"['Rock', 'Grass']","['Suction Cups', 'Storm Drain']",66,41,77,61,87,23,5.88%,"['Land', 'Bosses', 'Root Fossil']"
Linoone,It evolves From Zigzagoon and into its only evolution Linoone as early as level 20.,['Normal'],"['Pickup', 'Gluttony', 'Quick Feet']",78,70,61,50,61,100,11.76%,['Land']
Lombre,"Lombre is a [Water[_(type)|Water]] and Grass-type Pokémon. Having evolved from Lotad at level 14, it evolved into Ludicolo when exposed to a Water Stone.","['Water', 'Grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",60,50,50,60,70,50,15.69%,"['Wild', 'Surfing']"
Lotad,"It evolves into Lombre upon reaching level 14, which then evolves into Ludicolo when exposed to a Water Stone.","['Water', 'Grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",40,30,30,40,50,30,33.33%,"['Land', 'Surfing', 'Fishing', 'Bosses']"
Loudred,"Having it evolved into Whismur upon reaching level 20, and evolves into Exploud at level 40.",['Normal'],"['Soundproof', 'Scrappy']",84,71,43,71,43,48,15.69%,['Land']
Ludicolo,"Ludicolo is a Water and Grass-type Pokémon. Having evolved from Lombre at level , it is the final evolutionary stage of Lotad.","['Water', 'Grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",80,70,70,90,100,70,5.88%,"['Wild', 'Surfing']"
Lunatone,,"['Rock', 'Psychic']",['Levitate'],70,55,65,95,85,70,5.88%,"['Land', 'Surfing', 'Excavation']"
Luvdisc,,['Water'],"['Swift Swim', 'Hydration']",43,30,55,40,65,97,29.41%,"['Surfing', 'Fishing']"
Makuhita,It evolves into Hariyama upon reaching level 24.,['Fighting'],"['Thick Fat', 'Guts', 'Sheer Force']",72,60,30,20,30,25,23.53%,['Land']
Manectric,Manectric is an Electric-type Pokémon. Having evolved from Electrike at level 26.,['Electric'],"['Static', 'Lightning Rod', 'Minus']",70,75,60,105,60,105,5.88%,['Wild']
Marshtomp,"Marshtomp is a [Water[_(type)|Water]] and Ground-type Pokémon. Having evolved from Mudkip at level 16, evolves into Swampert at level 36.","['Water', 'Ground']","['Torrent', 'Damp']",70,85,70,60,70,50,5.88%,[]
Masquerain,Masquerain is a Bug and Flying-type Pokémon. Having evolved from Surskit at level 22.,"['Bug', 'Flying']","['Intimidate', 'Unnerve']",70,60,62,80,82,60,9.8%,"['Wild', 'Surfing']"
Mawile,,"['Steel', 'Fairy']","['Hyper Cutter', 'Intimidate', 'Sheer Force']",50,85,85,55,55,50,5.88%,"['Land', 'Bosses']"
Medicham,Medicham is a Fighting and Psychic-type Pokémon. Having evolved from Meditite at level 37.,"['Fighting', 'Psychic']","['Pure Power', 'Telepathy']",60,60,75,60,75,80,11.76%,['Wild']
Meditite,It evolves into Medicham upon reaching level 37.,"['Fighting', 'Psychic']","['Pure Power', 'Telepathy']",30,40,55,40,55,60,23.53%,"['Land', 'Bosses']"
Metagross,It evolves from Metang starting at level 45. It can Mega Evolve into Mega Metagross via exposure to the Metagrossite.,"['Steel', 'Psychic']","['Clear Body', 'Light Metal']",80,135,130,95,90,70,0.39%,[]
Metang,It is the evolved form of Beldum and evolves into Metagross upon reaching level 45.,"['Steel', 'Psychic']","['Clear Body', 'Light Metal']",60,75,100,55,80,50,0.39%,['Land']
Mightyena,It evolves From Poochyena and into its only evolution Mightyena as early as level 18.,['Dark'],"['Intimidate', 'Quick Feet', 'Moxie']",70,90,70,60,60,70,16.6%,['Land']
Milotic,It evolves from Feebas when traded with a Prism Scale.,['Water'],"['Marvel Scale', 'Competitive', 'Cute Charm']",95,60,79,100,125,81,7.84%,['Surfing']
Minun,,['Electric'],"['Minus', 'Volt Absorb']",60,40,50,75,85,95,26.14%,"['Land', 'Headbutt Trees']"
Mudkip,"It evolves into Marshtomp upon reaching level 16, which then evolves into Swampert after reaching level 36. It is the Water type starter of Hoenn.",['Water'],"['Torrent', 'Damp']",50,70,50,50,50,40,5.88%,"['Land', 'Surfing', 'Headbutt Trees', 'Bosses', 'Excavation', 'Hoenn Daycare']"
Nincada,"It evolves into Ninjask at level 20 and, if a party slot is vacant and at least 1 Pokeball is in the players bag, it will also evolve into Shedinja, giving you two Pokémon.","['Bug', 'Ground']","['Compound Eyes', 'Run Away']",31,45,90,30,30,40,33.33%,"['Land', 'Bosses']"
Ninjask,Ninjask is a Bug and Flying-type Pokémon. Having evolved from Nincada at level 20.,"['Bug', 'Flying']","['Speed Boost', 'Infiltrator']",61,90,45,50,50,160,15.69%,[]
Nosepass,"It evolves into Probopass when leveled up at either Power Plant, New Mauville, Mt. Coronet North, Mt. Coronet South or Mt. Coronet Summit.",['Rock'],"['Sturdy', 'Magnet Pull', 'Sand Force']",30,45,135,45,135,30,33.33%,"['Land', 'Diggable Patches']"
Numel,"Numel is a Fire- and Ground-type Pokémon. It evolves into Camerupt as early as level 33, which is the final stage of its evolutionary line.","['Fire', 'Ground']","['Oblivious', 'Simple', 'Own Tempo']",60,60,40,65,45,35,33.33%,['Land']
Nuzleaf,"It evolves from Seedot upon reaching level 14, and evolves into Shiftry when exposed to a Leaf Stone.","['Grass', 'Dark']","['Chlorophyll', 'Early Bird', 'Pickpocket']",70,70,40,60,40,60,15.69%,"['Land', 'Headbutt Trees']"
Pelipper,It evolves from Wingull upon reaching level 25.,"['Water', 'Flying']","['Keen Eye', 'Drizzle', 'Rain Dish']",60,50,100,85,70,65,5.88%,"['Land', 'Surfing']"
Plusle,,['Electric'],"['Plus', 'Lightning Rod']",60,50,40,85,75,95,26.14%,"['Land', 'Headbutt Trees', 'Bosses']"
Poochyena,It evolves into Mightyena upon reaching level 18.,['Dark'],"['Run Away', 'Quick Feet', 'Rattled']",30,55,35,30,30,35,33.33%,"['Land', 'Headbutt Trees', 'Bosses']"
Ralts,"Ralts is a Psychic and Fairy type Pokémon. 
It evolves into Kirlia upon reaching level 20, which evolves either into Gardevoir at level 30, or, if male, Gallade when exposed to a Dawn Stone.","['Psychic', 'Fairy']","['Synchronize', 'Trace', 'Telepathy']",28,25,25,45,35,40,30.72%,"['Wild', 'Bosses']"
Rayquaza,,"['Dragon', 'Flying']",['Air Lock'],105,150,90,150,90,95,0.39%,[]
Regice,,['Ice'],"['Clear Body', 'Ice Body']",80,50,100,100,200,50,0.39%,[]
Regirock,,['Rock'],"['Clear Body', 'Sturdy']",80,100,200,50,100,50,0.39%,[]
Registeel,,['Steel'],"['Clear Body', 'Light Metal']",80,75,150,75,150,50,0.39%,[]
Relicanth,,"['Water', 'Rock']","['Swift Swim', 'Rock Head', 'Sturdy']",100,90,130,45,65,55,3.27%,"['Surfing', 'Fishing', 'Bosses']"
Roselia,It evolves from Budew when leveled up with maximum happiness(255) during the daytime and evolves into Roserade when exposed to a Shiny Stone.,"['Grass', 'Poison']","['Natural Cure', 'Poison Point', 'Leaf Guard']",50,60,45,100,80,65,19.61%,['Land']
Sableye,,"['Dark', 'Ghost']","['Keen Eye', 'Stall', 'Prankster']",50,75,75,65,65,50,5.88%,"['Land', 'Headbutt Trees', 'Bosses']"
Salamence,"Salamence is a Dragon and Flying-type Pokémon. Having evolved from Shelgon at level 50, it is the final evolutionary stage of Bagon.","['Dragon', 'Flying']","['Intimidate', 'Moxie']",95,135,80,110,80,100,5.88%,[]
Sceptile,"Sceptile is a Grass-type Pokémon. Having evolved from Grovyle at level 36, it is the final evolutionary stage of Treecko.",['Grass'],"['Overgrow', 'Unburden']",70,85,65,105,85,120,5.88%,[]
Sealeo,"Sealeo is a Ice and Water-type Pokémon. Having evolved from Spheal at level 32, it evolves into Walrein at level 44.","['Ice', 'Water']","['Thick Fat', 'Ice Body', 'Oblivious']",90,60,70,75,70,45,15.69%,"['Wild', 'Surfing']"
Seedot,"It evolves into Nuzleaf upon reaching level 14, which then evolves into Shiftry when exposed to a Leaf Stone.",['Grass'],"['Chlorophyll', 'Early Bird', 'Pickpocket']",40,40,50,30,30,30,33.33%,"['Land', 'Headbutt Trees', 'Doctors Quest']"
Seviper,,['Poison'],"['Shed Skin', 'Infiltrator']",73,100,60,100,60,65,11.76%,['Land']
Sharpedo,Sharpedo is a Dark and Water type Pokémon. Having it evolved from Carvanha upon reaching level 30. It can  Mega Evolve into Mega Sharpedo via the exposure of Sharpedonite.,"['Water', 'Dark']","['Rough Skin', 'Speed Boost']",70,120,40,95,40,95,7.84%,"['Surfing', 'Fishing']"
Shedinja,"Shedinja is a Bug and Ghost-type Pokémon. Having evolved from Nincada at level 20 and, if a party slot is vacant and at least 1 Pokeball is in the players bag.","['Bug', 'Ghost']",['Wonder Guard'],1,90,45,30,30,40,5.88%,[]
Shelgon,"Shelgon is a Dragon-type Pokémon. Having evolved from Bagon at level 30, it evolves into Salamence at level 50.",['Dragon'],"['Rock Head', 'Overcoat']",65,95,100,60,50,50,5.88%,[]
Shiftry,It evolves from Nuzleaf  when exposed to a Leaf Stone. This is the final form of Seedot,"['Grass', 'Dark']","['Chlorophyll', 'Early Bird', 'Pickpocket']",90,100,60,90,60,80,5.88%,"['Land', 'Headbutt Trees']"
Shroomish,It evolves into Breloom upon reaching level 23.,['Grass'],"['Effect Spore', 'Poison Heal', 'Quick Feet']",60,40,60,40,60,35,33.33%,"['Land', 'Headbutt Trees', 'Excavation', 'Bosses']"
Shuppet,It evolves into Banette upon reaching level 37.,['Ghost'],"['Insomnia', 'Frisk', 'Cursed Body']",44,75,35,63,33,45,29.41%,"['Land', 'Surfing', 'Excavation']"
Silcoon,"Silcoon evolves from Wurmple at level 7; thereafter, it will evolve into its final evolutionary stage in Beautifly at level 10.",['Bug'],['Shed Skin'],50,35,55,25,25,15,15.69%,"['Land', 'Headbutt Trees']"
Skitty,It evolves into Delcatty when exposed to a Moon Stone.,['Normal'],"['Cute Charm', 'Normalize', 'Wonder Skin']",50,45,45,35,35,50,33.33%,['Land']
Slaking,"Slaking is a Normal-type Pokémon. Having evolved from Vigoroth at level , it is the final evolutionary stage of Slakoth.",['Normal'],['Truant'],150,160,100,95,65,100,5.88%,['Wild']
Slakoth,"It evolves into Vigoroth upon reaching level 18, which then evolves into Slaking when it reaches level 36.",['Normal'],['Truant'],60,60,60,35,35,30,33.33%,"['Land', 'Headbutt Trees', 'Bosses']"
Snorunt,,['Ice'],"['Inner Focus', 'Ice Body', 'Moody']",50,50,50,50,50,50,24.84%,"['Land', 'Excavation']"
Solrock,,"['Rock', 'Psychic']",['Levitate'],70,95,85,55,65,70,5.88%,"['Land', 'Surfing', 'Excavation']"
Spheal,"It evolves into Sealeo upon reaching level 32, which then evolves into Walrein when it reaches level 44.","['Ice', 'Water']","['Thick Fat', 'Ice Body', 'Oblivious']",70,40,50,55,50,25,33.33%,"['Land', 'Surfing', 'Fishing']"
Spinda,,['Normal'],"['Own Tempo', 'Tangled Feet', 'Contrary']",60,60,60,60,60,60,33.33%,['Land']
Spoink,"Spoink is a Psychic type Pokémon.
It evolves into Grumpig upon reaching level 32.",['Psychic'],"['Thick Fat', 'Own Tempo', 'Gluttony']",60,25,35,70,80,60,33.33%,"['Land', 'Excavation']"
Surskit,It evolves into Masquerain upon reaching level 22.,"['Bug', 'Water']","['Swift Swim', 'Rain Dish']",40,30,32,50,52,65,26.14%,"['Land', 'Headbutt Trees', 'Surfing', 'Fishing']"
Swablu,It evolves into Altaria upon reaching level 35.,"['Normal', 'Flying']","['Natural Cure', 'Cloud Nine']",45,40,60,40,75,50,33.33%,"['Land', 'Bosses', 'Doctors Quest']"
Swalot,Swalot is a Poison-type Pokémon. Having evolved from Gulpin at level 26.,['Poison'],"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",100,73,83,73,83,55,9.8%,[]
Swampert,"Swampert is a Water and Ground-type Pokémon. Having evolved from Marshtomp at level 36, it is the final evolutionary stage of Mudkip.","['Water', 'Ground']","['Torrent', 'Damp']",100,110,90,85,90,60,5.88%,[]
Swellow,Swellow is a Normal and Flying-type Pokémon. Having evolved from Taillow at level 22.,"['Normal', 'Flying']","['Guts', 'Scrappy']",60,85,60,50,50,125,5.88%,['Wild']
Taillow,It evolves into Swellow upon reaching level 22.,"['Normal', 'Flying']","['Guts', 'Scrappy']",40,55,30,30,30,85,26.14%,"['Land', 'Headbutt Trees']"
Torchic,"Torchic is a Hoenn's Fire type starter Pokémon. It evolves into Combusken upon reaching level 16, which then evolves into Blaziken after reaching level 36.",['Fire'],"['Blaze', 'Speed Boost']",45,60,40,70,50,45,5.88%,"['Wild', 'Headbutt Trees', 'NPCs']"
Torkoal,,['Fire'],"['White Smoke', 'Drought', 'Shell Armor']",70,85,140,85,70,20,11.76%,"['Land', 'Excavation', 'Bosses']"
Trapinch,"It evolves into Vibrava upon reaching level 35, which then evolves into Flygon at level 45.",['Ground'],"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",45,100,45,45,45,10,33.33%,"['Land', 'Excavation', 'Dig Spots', 'Bosses']"
Treecko,"Treecko is a Grass-type Pokémon. It evolves into Grovyle at level 16, which then evolves into its final-stage form in Sceptile at level 36.",['Grass'],"['Overgrow', 'Unburden']",40,45,35,65,55,70,5.88%,"['Land', 'Headbutt Trees', 'Starter Pokémon', 'Professor Birch (boss)', 'Hoenn Daycare']"
Tropius,,"['Grass', 'Flying']","['Chlorophyll', 'Solar Power', 'Harvest']",99,68,83,72,87,51,26.14%,['Land']
Vibrava,"Having it evolved from Trapinch upon reaching level 35, and evolves into Flygon at level 45.","['Ground', 'Dragon']",['Levitate'],50,70,50,50,50,70,15.69%,"['Land', 'Headbutt Trees']"
Vigoroth,"Vigoroth is a Normal-type Pokémon. Having evolved from Slakoth at level 18, it evolves into Slaking at level 36.",['Normal'],['Vital Spirit'],80,80,80,55,55,90,15.69%,[]
Volbeat,,['Bug'],"['Illuminate', 'Swarm', 'Prankster']",65,73,55,47,75,85,19.61%,"['Land', 'Headbutt Trees']"
Wailmer,It evolves into Wailord starting at level 40.,['Water'],"['Water Veil', 'Oblivious', 'Pressure']",130,70,35,70,35,60,16.34%,"['Surfing', 'Fishing', 'Bosses']"
Wailord,It evolves from Wailmer starting at level 40.,['Water'],"['Water Veil', 'Oblivious', 'Pressure']",170,90,45,90,45,60,7.84%,['Surfing']
Walrein,"Walrein is an Ice and Water-type Pokémon. Having evolved from Sealeo at level 44, it is the final evolutionary stage of Spheal.","['Ice', 'Water']","['Thick Fat', 'Ice Body', 'Oblivious']",110,80,90,95,90,65,5.88%,[]
Whiscash,Whiscash is a Water and Ground-type Pokémon. Having evolved from Barboach at level 30.,"['Water', 'Ground']","['Oblivious', 'Anticipation', 'Hydration']",110,78,73,76,71,60,9.8%,['Surfing']
Whismur,"It evolves into Loudred upon reaching level 20, which then evolves into Exploud at level 40.",['Normal'],"['Soundproof', 'Rattled']",64,51,23,51,23,28,24.84%,"['Land', 'Doctors Quest']"
Wingull,It evolves into Pelipper upon reaching level 25.,"['Water', 'Flying']","['Keen Eye', 'Hydration', 'Rain Dish']",40,30,30,55,30,85,24.84%,"['Land', 'Headbutt Trees', 'Surfing']"
Wurmple,,['Bug'],"['Shield Dust', 'Run Away']",45,45,35,20,30,20,33.33%,"['Land', 'Headbutt Trees']"
Wynaut,It evolves into Wobbuffet upon reaching level 15.,['Psychic'],"['Shadow Tag', 'Telepathy']",95,23,48,23,48,23,16.34%,"['Land', 'Headbutt Trees', 'Bosses', 'Doctors Quest']"
Zangoose,,['Normal'],"['Immunity', 'Toxic Boost']",73,115,60,60,60,90,11.76%,['Land']
Zigzagoon,It evolves into Linoone upon reaching level 20.,['Normal'],"['Pickup', 'Gluttony', 'Quick Feet']",38,30,41,30,41,60,33.33%,['Land']
Abomasnow,It is the only evolutionary outlet of Snover having evolved from it upon reaching level 40.,"['Grass', 'Ice']","['Snow Warning', 'Soundproof']",90,92,75,92,85,60,7.84%,['Land']
Ambipom,Ambipom is a Normal-type Pokémon. Having evolved from Aipom when leveled up while knowing Double Hit.,['Normal'],"['Technician', 'Pickup', 'Skill Link']",75,100,66,60,66,115,5.88%,[]
Arceus,,['Normal'],['Multitype'],120,120,120,120,120,120,0.39%,[]
Azelf,,['Psychic'],['Levitate'],75,125,70,125,70,115,0.39%,[]
Bastiodon,Bastiodon is a Rock and Steel-type Pokémon. Having evolved from Shieldon at level 30.,"['Rock', 'Steel']","['Sturdy', 'Soundproof']",60,52,168,47,138,30,5.88%,[]
Bibarel,Bibarel is a Normal and Water-type Pokémon. Having evolved from Bidoof at level 15.,"['Normal', 'Water']","['Simple', 'Unaware', 'Moody']",79,85,60,55,60,71,16.6%,['Wild']
Bidoof,It evolves into Bibarel upon reaching level 15.,['Normal'],"['Simple', 'Unaware', 'Moody']",59,45,40,35,40,31,33.33%,"['Land', 'Surfing', 'Headbutt Trees']"
Bonsly,It evolves into Sudowoodo when leveled up while knowing Mimic.,['Rock'],"['Sturdy', 'Rock Head', 'Rattled']",50,80,95,10,45,10,33.33%,"['Land', 'Bosses']"
Bronzong,Bronzong is a Steel- and Psychic-type Pokémon. Having evolved from Bronzor at level 33.,"['Steel', 'Psychic']","['Levitate', 'Heatproof', 'Heavy Metal']",67,89,116,79,116,33,11.76%,['Wild']
Bronzor,It evolves into Bronzong upon reaching level 33.,"['Steel', 'Psychic']","['Levitate', 'Heatproof', 'Heavy Metal']",57,24,86,24,86,23,33.33%,"['Land', 'Headbutt Trees', 'Excavation', 'Bosses', 'Dig Spots']"
Budew,"It evolves into Roselia when leveled up with max happiness (255) during daytime, which then evolves into Roserade when exposed to a Shiny Stone.","['Grass', 'Poison']","['Natural Cure', 'Poison Point', 'Leaf Guard']",40,30,35,50,70,55,33.33%,"['Land', 'Excavation', 'Bosses']"
Buizel,It evolves into Floatzel as early as level 26.,['Water'],"['Swift Swim', 'Water Veil']",55,65,35,60,30,85,24.84%,"['Land', 'Surfing', 'Fishing', 'Excavation']"
Buneary,It evolves into Lopunny when leveled up with maximum Happiness(255).,['Normal'],"['Run Away', 'Klutz', 'Limber']",55,66,44,44,56,85,24.84%,['Land']
Burmy,It evolves into Wormadam or Mothim,['Bug'],"['Shed Skin', 'Overcoat']",40,29,45,29,45,36,15.69%,"['Land', 'Headbutt Trees', 'Excavation']"
Carnivine,,['Grass'],['Levitate'],74,100,72,90,72,46,26.14%,"['Land', 'Headbutt Trees']"
Chatot,,"['Normal', 'Flying']","['Keen Eye', 'Tangled Feet', 'Big Pecks']",76,65,45,92,42,91,3.92%,"['Land', 'Headbutt Trees']"
Cherrim,Cherrim is a Grass-type Pokémon. Having evolved from Cherubi at level 25.,['Grass'],['Flower Gift'],70,60,70,87,78,85,9.8%,['Wild']
Cherubi,Cherubi is a Grass type Pokémon. It evolves into Cherrim at level 25.,['Grass'],['Chlorophyll'],45,35,45,62,63,35,24.84%,"['Wild', 'Headbutt Trees']"
